student_no,province,age,gender,nationality,religion,f_Educ,father_occupation,m_Educ,mother_occupation,family_size,ordinal_position,family_monthlyIncome,no_members_income,tuition_support,school_expenses,shs_school_type,strand,grade12_cgpa,pr_verbal_language,pr_reading_compre,pr_english,pr_math,pr_non_verbal,pr_basic_cmp,pr_clerical,selected_college_score,course,total_units,institute,performance
20575056,Pampanga,18,F,Filipino,Jehovas Witness,College Graduate,Skilled and technical jobs,HS,mgmt. sales and entrepreneural occupations,7,4th,C,Max of 2,Parents,Parents,Private,HUMSS,88.19,37,52,17,67,91,87,92,54.2,Criminology,26,CCJEF,high
20636976,Pampanga,19,F,Filipino,Roman Catholic,HS,Skilled and technical jobs,HS,,6,Youngest,D,Max of 4,Scholarships and Grants,Parents,Public,ABM,91.81,97,88,67,97,95,53,61,83.4,Accountancy,26,SBA,high
20594902,Outside,19,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Undergraduate/Vocational,Skilled and technical jobs,8,5th,C,Max of 4,Parents,Parents,Private,STEM,90.0,91,88,67,82,86,87,12,76.95,Architecture,26,SEA,medium
20572018,Pampanga,18,F,Filipino,Roman Catholic,Post Graduate,helping and teaching occupation,College Graduate,office and clerical jobs,8,4th,E,Max of 4,Parents,Parents,Private,HUMSS,89.34,79,14,87,67,72,87,82,52.6,BSPsychology,23,SAS,high
20613194,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Undergraduate/Vocational,mgmt. sales and entrepreneural occupations,5,Eldest,E,Max of 2,Relatives,Parents,Private,ABM,95.0,94,88,97,95,80,87,79,90.0,Accountancy,26,SBA,high
20571726,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,HS,,4,Eldest,E,Max of 2,Parents,Parents,Private,STEM,86.9,52,52,40,31,86,61,53,49.65,BSHRM,26,SHTM,high
20567970,Pampanga,18,M,Filipino,Roman Catholic,Elementary,Skilled and technical jobs,HS,,8,Youngest,E,Max of 4,Parents,Parents,Private,HUMSS,89.0,94,59,40,67,80,92,33,66.05,BSED-ValEd,26,SED,high
20613903,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,helping and teaching occupation,6,2nd,E,Max of 2,Parents,Parents,Private,GAS,92.13,87,97,78,92,95,87,45,85.95,ME,25,SEA,mlow
20576428,Pampanga,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,HS,mgmt. sales and entrepreneural occupations,3,Only Child,C,Max of 2,Parents,Parents,Private,STEM,85.64,52,94,67,92,32,94,41,72.0,BSITAreaNetAdmi,23,CICT,medium
20571917,Pampanga,19,F,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,HS,,6,Eldest,F,Max of 2,Parents,Parents,Private,ABM,94.78,94,96,78,88,86,77,89,88.25,Accountancy,26,SBA,high
20606894,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,,Elementary,,8,5th,E,Max of 2,Relatives,Relatives,Private,STEM,94.5,94,88,5,67,62,87,49,67.3,Accountancy,26,SBA,high
20570196,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,office and clerical jobs,3,Only Child,C,Max of 2,Parents,Parents,Private,ABM,86.82,7,73,87,40,24,92,37,56.65,BSITAreaWebDev,23,CICT,medium
20610810,Pampanga,19,M,Filipino,Born Again Christian,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,helping and teaching occupation,5,Youngest,C,Max of 2,Parents,Parents,Private,STEM,87.9,87,91,78,95,80,87,26,84.7,Accountancy,26,SBA,high
20584541,Pampanga,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,College Graduate,office and clerical jobs,4,Eldest,F,Max of 2,Parents,Parents,Private,STEM,83.32,24,37,67,31,7,37,12,31.05,BSTourism,26,SHTM,mlow
20567327,Pampanga,18,M,Filipino,Roman Catholic,Post Graduate,Skilled and technical jobs,College Graduate,Skilled and technical jobs,6,3rd,E,None,Parents,Parents,Private,STEM,83.22,87,84,40,7,11,83,17,46.7,Comp. Engg.,25,SEA,medium
20594711,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,office and clerical jobs,College Graduate,,3,Only Child,E,Max of 2,Parents,Parents,Private,ABM,92.78,79,84,97,82,32,77,69,78.4,Accountancy,26,SBA,high
20628382,Pampanga,19,F,Filipino,Roman Catholic,Elementary,mgmt. sales and entrepreneural occupations,HS,mgmt. sales and entrepreneural occupations,8,3rd,E,Max of 2,Parents,Parents,Private,GAS,90.0,79,31,40,75,62,61,37,53.75,BEEd,26,SED,medium
20611844,Pampanga,18,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,6,3rd,C,Max of 4,Parents,Parents,Private,STEM,91.0,91,99,67,58,91,92,79,80.85,BSAeronautical,25,SEA,high
20627561,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,helping and teaching occupation,6,2nd,E,Max of 2,Parents,Parents,Private,TVL,83.13,24,84,27,88,72,69,53,64.5,CE,25,SEA,mlow
20573370,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,helping and teaching occupation,6,3rd,C,Max of 6,Parents,Parents,Public,TVL,93.5,79,37,17,75,91,61,7,43.7,BSHRM,26,SHTM,high
20572830,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,Skilled and technical jobs,5,Youngest,E,Max of 2,Parents,Parents,Private,TVL,87.36,14,19,40,58,52,53,17,31.1,BSHRM,26,SHTM,high
20602945,Outside,18,M,Filipino,Seventh Day Adventist ,HS,Skilled and technical jobs,College Undergraduate/Vocational,Skilled and technical jobs,5,Youngest,E,Max of 4,Relatives,Parents,Public,STEM,88.0,52,45,40,40,62,61,23,45.4,CE,25,SEA,medium
20595093,Pampanga,19,F,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Undergraduate/Vocational,office and clerical jobs,5,Eldest,F,Max of 6,Parents,Parents,Private,ABM,91.24,79,79,67,58,32,94,91,70.4,Accountancy,26,SBA,high
20613712,Pampanga,18,M,Filipino,Born Again Christian,College Graduate,Skilled and technical jobs,College Graduate,office and clerical jobs,5,Eldest,E,Max of 2,Parents,Parents,Public,STEM,90.0,91,84,5,88,91,96,87,80.35,Comp. Engg.,25,SEA,high
20602078,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,HS,helping and teaching occupation,5,Eldest,C,Max of 4,Parents,Parents,Private,ABM,91.52,91,59,27,82,72,92,69,67.1,Accountancy,26,SBA,high
20585935,Pampanga,19,F,Filipino,Iglesia Ni Cristo,College Graduate,Skilled and technical jobs,College Graduate,,4,Eldest,E,Max of 2,Parents,Parents,Private,STEM,90.86,94,94,93,82,97,77,20,82.1,Architecture,26,SEA,high
20599582,Pampanga,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Undergraduate/Vocational,Skilled and technical jobs,5,Eldest,D,Max of 2,Parents,Parents,Private,STEM,82.43,52,88,67,88,52,83,29,70.5,CE,25,SEA,mlow
20577756,Pampanga,19,F,Filipino,Iglesia Ni Cristo,,Skilled and technical jobs,College Graduate,helping and teaching occupation,6,2nd,B,Max of 2,Parents,Parents,Private,ABM,89.53,24,52,67,67,52,23,53,51.6,BSBA-MktgMgmt,23,SBA,high
20577914,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,helping and teaching occupation,4,Youngest,C,Max of 2,Parents,Parents,Private,STEM,82.57,87,19,67,11,11,83,57,48.5,BSITAreaWebDev,23,CICT,mlow
20606850,Pampanga,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,Post Graduate,"artistic, musical, writing",6,2nd,B,Max of 2,Parents,Parents,Private,STEM,84.03,52,52,87,16,24,92,2,47.85,BSCompsci,23,CICT,medium
20594507,Outside,18,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,Skilled and technical jobs,8,Eldest,F,Max of 2,Parents,Parents,Private,ABM,86.0,91,79,40,88,42,94,37,72.75,BSAeronautical,25,SEA,medium
20627223,Pampanga,19,M,Filipino,Iglesia Ni Cristo,Elementary,mgmt. sales and entrepreneural occupations,Elementary,office and clerical jobs,5,Eldest,F,Max of 2,Scholarships and Grants,Scholarships and Grants,Public,ABM,94.0,97,94,67,99,86,92,23,84.9,IE,25,SEA,high
20588512,Pampanga,19,F,Filipino,Born Again Christian,College Graduate,mgmt. sales and entrepreneural occupations,College Undergraduate/Vocational,scientific and allied medical positions,5,Eldest,C,Max of 6,Scholarships and Grants,Parents,Private,STEM,90.5,79,31,67,40,86,77,37,54.75,Architecture,26,SEA,high
20612957,Pampanga,19,F,Filipino,Roman Catholic,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,College Graduate,helping and teaching occupation,3,Only Child,E,Max of 2,Scholarships and Grants,Self,Public,GAS,95.0,94,52,67,88,17,69,87,67.0,BSPsychology,23,SAS,high
20567406,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,"artistic, musical, writing",College Graduate,mgmt. sales and entrepreneural occupations,5,Middle,E,Max of 6,Parents,Parents,Private,GAS,96.39,52,98,78,23,72,37,23,64.65,BA Comm,23,SAS,high
20613723,Outside,18,M,Filipino,Roman Catholic,,,College Graduate,helping and teaching occupation,3,Only Child,E,Max of 4,Parents,Parents,Private,STEM,87.5,91,37,27,75,86,69,15,59.5,BSAeronautical,25,SEA,high
20628191,Outside,18,M,Filipino,Protestant,Post Graduate,Skilled and technical jobs,Post Graduate,helping and teaching occupation,5,Eldest,C,Max of 4,Scholarships and Grants,Self,Private,TVL,91.0,79,79,97,82,62,96,33,80.0,BSITAreaNetAdmi,23,CICT,medium
20583268,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,College Undergraduate/Vocational,Skilled and technical jobs,6,2nd,D,Max of 2,Scholarships and Grants,Parents,Private,ABM,98.09,91,94,99,98,86,83,82,92.75,Accountancy,26,SBA,high
20634221,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,helping and teaching occupation,College Graduate,scientific and allied medical positions,7,Middle,B,Max of 2,Parents,Parents,Public,TVL,93.0,79,59,53,75,62,61,76,65.3,BSHRM,26,SHTM,high
20579466,Pampanga,19,F,Filipino,Roman Catholic,HS,Skilled and technical jobs,HS,Skilled and technical jobs,5,Eldest,F,Max of 2,Relatives,Relatives,Private,ABM,93.07,79,37,10,7,80,69,87,45.6,EE,25,SEA,medium
20630237,Pampanga,20,M,Filipino,Roman Catholic,College Graduate,"artistic, musical, writing",College Graduate,Skilled and technical jobs,7,2nd,D,Max of 4,Parents,Parents,Private,STEM,91.0,97,99,87,82,86,92,37,85.05,CE,25,SEA,medium
20627324,Pampanga,19,M,Filipino,Born Again Christian,College Graduate,Skilled and technical jobs,College Graduate,office and clerical jobs,5,Middle,A,Max of 2,Parents,Parents,Private,HUMSS,79.18,37,52,40,50,42,69,53,49.05,BSITAreaWebDev,23,CICT,mlow
20617547,Outside,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,Skilled and technical jobs,5,Youngest,F,Max of 2,Parents,Parents,Private,ABM,95.0,37,94,87,99,91,92,61,86.1,Accountancy,26,SBA,high
20576608,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Undergraduate/Vocational,,6,Eldest,F,Max of 2,Relatives,Parents,Private,ABM,92.41,37,45,93,82,62,83,76,65.85,Accountancy,26,SBA,high
20580390,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,HS,,5,Eldest,D,Max of 2,Parents,Parents,Private,STEM,90.83,52,94,78,50,42,69,65,64.5,BSCompsci,23,CICT,high
20576744,Pampanga,18,F,Filipino,Roman Catholic,HS,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,4,Eldest,D,Max of 2,Parents,Parents,Private,STEM,88.8,37,59,78,75,86,87,76,68.8,BSAeronautical,25,SEA,high
20613306,Pampanga,18,M,Filipino,Born Again Christian,College Graduate,Skilled and technical jobs,HS,mgmt. sales and entrepreneural occupations,6,2nd,E,Max of 2,Scholarships and Grants,Parents,Private,STEM,89.54,52,88,78,95,86,94,73,82.25,ME,25,SEA,medium
20577745,Pampanga,19,M,Filipino,Born Again Christian,College Graduate,office and clerical jobs,College Undergraduate/Vocational,helping and teaching occupation,4,Eldest,D,Max of 2,Parents,Parents,Private,ABM,91.85,87,94,67,75,62,92,41,79.4,Accountancy,26,SBA,high
20637898,Outside,19,F,Filipino,Roman Catholic,College Graduate,helping and teaching occupation,Post Graduate,helping and teaching occupation,7,Middle,C,Max of 2,Parents,Parents,Private,STEM,92.94,87,91,87,67,86,37,73,76.3,BSAeronautical,25,SEA,high
20580794,Pampanga,18,M,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Undergraduate/Vocational,,5,Eldest,E,Max of 6,Scholarships and Grants,Parents,Public,STEM,85.5,37,88,78,58,62,61,49,69.9,Biological,26,SED,high
20581266,Pampanga,19,M,Filipino,Born Again Christian,College Undergrad/Vocational,Skilled and technical jobs,HS,,6,2nd,D,Max of 2,Parents,Parents,Private,STEM,88.83,37,59,17,88,62,92,76,64.05,BSAeronautical,25,SEA,medium
20572503,Pampanga,19,F,Filipino,Roman Catholic,,office and clerical jobs,,office and clerical jobs,4,Eldest,E,Max of 2,Parents,Parents,Private,STEM,92.0,24,31,53,82,91,37,89,57.3,BSTourism,26,SHTM,high
20613238,Outside,18,F,Filipino,Roman Catholic,College Graduate,mgmt. sales and entrepreneural occupations,College Graduate,mgmt. sales and entrepreneural occupations,6,2nd,D,Max of 2,Parents,Parents,Private,ABM,93.5,91,73,10,31,52,2,37,45.95,BusMgt,23,SBA,high
20637180,Pampanga,19,M,Filipino,Born Again Christian,College Graduate,Skilled and technical jobs,HS,mgmt. sales and entrepreneural occupations,3,Only Child,D,Max of 2,Parents,Parents,Private,ABM,85.88,14,67,67,82,72,87,20,64.85,BusMgt,23,SBA,medium
20575620,Pampanga,18,M,Filipino,Roman Catholic,HS,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,3,Only Child,F,Max of 4,Parents,Parents,Private,STEM,88.08,37,31,17,23,91,61,91,43.5,BSHRM,25,SHTM,mlow
20618346,Pampanga,19,F,Filipino,Roman Catholic,,,,,9,Middle,E,Max of 2,Relatives,Relatives,Public,ABM,80.5,91,52,40,50,42,37,15,47.6,English-BSED,26,SED,medium
20639485,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,mgmt. sales and entrepreneural occupations,HS,Skilled and technical jobs,4,Eldest,F,More than 6,Parents,Self,Public,TVL,83.5,3,67,27,23,86,37,79,48.85,English-BSED,26,SED,high
20587645,Pampanga,20,M,Filipino,Roman Catholic,HS,Skilled and technical jobs,HS,helping and teaching occupation,8,5th,E,Max of 6,Parents,Parents,Private,TVL,79.29,7,14,17,58,32,23,20,20.65,BSHRM,26,SHTM,medium
20610393,Pampanga,19,F,Filipino,Roman Catholic,,Skilled and technical jobs,,,5,Eldest,C,Max of 2,Parents,Parents,Private,ABM,92.0,91,84,67,40,11,83,20,62.75,BusMgt,23,SBA,high
20572255,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,,office and clerical jobs,5,Eldest,E,Max of 2,Parents,Parents,Private,ABM,88.22,91,24,27,16,24,53,23,32.4,BusMgt,23,SBA,high
20569634,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,office and clerical jobs,College Graduate,office and clerical jobs,6,Eldest,D,Max of 2,Parents,Parents,Public,STEM,87.5,52,67,53,92,72,94,33,65.9,Criminology,26,CCJEF,high
20614353,Pampanga,17,M,Filipino,Roman Catholic,Post Graduate,Skilled and technical jobs,College Graduate,Skilled and technical jobs,4,Eldest,D,Max of 2,Parents,Parents,Private,STEM,90.61,52,84,87,88,24,92,76,74.5,Comp. Engg.,25,SEA,medium
20571603,Pampanga,19,M,Filipino,Roman Catholic,Post Graduate,office and clerical jobs,College Graduate,Skilled and technical jobs,6,Youngest,B,Max of 2,Parents,Parents,Private,STEM,90.54,99,91,98,82,86,94,17,87.15,IE,25,SEA,high
20583191,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,"artistic, musical, writing",College Graduate,mgmt. sales and entrepreneural occupations,4,Eldest,D,Max of 2,Parents,Parents,Private,STEM,90.93,79,99,93,58,91,69,33,74.75,BSAeronautical,25,SEA,medium
20574551,Pampanga,19,F,Filipino,Born Again Christian,HS,,College Graduate,helping and teaching occupation,5,Middle,E,Max of 2,Parents,Self,Private,TVL,94.5,91,73,67,75,86,69,95,78.25,BSTourism,26,SHTM,high
20574898,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,mgmt. sales and entrepreneural occupations,Post Graduate,helping and teaching occupation,3,Only Child,E,Max of 2,Scholarships and Grants,Parents,Private,STEM,95.65,97,98,93,97,95,87,94,95.3,Architecture,26,SEA,high
20599740,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,Skilled and technical jobs,5,Middle,F,Max of 6,Parents,Parents,Private,STEM,88.98,52,52,27,31,62,69,20,43.75,Architecture,26,SEA,medium
20618302,Outside,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,helping and teaching occupation,5,Middle,E,Max of 2,Scholarships and Grants,Parents,Private,STEM,94.52,91,96,53,88,80,61,69,81.15,BSAeronautical,25,SEA,high
20601843,Pampanga,19,M,Filipino,Born Again Christian,HS,Skilled and technical jobs,HS,mgmt. sales and entrepreneural occupations,7,2nd,E,None,Parents,Parents,Private,STEM,91.93,91,88,78,88,80,96,82,86.85,CE,25,SEA,high
20599683,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Undergraduate/Vocational,mgmt. sales and entrepreneural occupations,4,Eldest,C,Max of 2,Parents,Parents,Private,ABM,92.5,52,79,78,75,95,94,73,78.15,Accountancy,26,SBA,high
20572626,Pampanga,18,F,Filipino,Born Again Christian,College Graduate,helping and teaching occupation,College Graduate,mgmt. sales and entrepreneural occupations,4,Eldest,D,Max of 2,Relatives,Parents,Private,TVL,90.25,87,84,98,58,91,83,87,82.5,BusMgt,23,SBA,high
20576057,Outside,18,M,Filipino,Born Again Christian,College Graduate,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,4,Eldest,E,Max of 2,Parents,Parents,Private,STEM,88.06,52,79,1,95,98,46,41,65.95,BSAeronautical,25,SEA,medium
20614105,Pampanga,19,M,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,College Graduate,scientific and allied medical positions,5,Youngest,A,Max of 4,Parents,Parents,Private,STEM,85.53,97,91,78,40,52,98,76,73.15,BSAeronautical,25,SEA,high
